x,y,species logistic values
207.0,207.0,2.249394E-6
208.0,208.0,9.525122E-11
209.0,209.0,0.6947496
210.0,210.0,0.0011034366
211.0,211.0,2.8372233E-7
212.0,212.0,0.05179132
213.0,213.0,1.5205435E-7
214.0,214.0,0.0012004825
215.0,215.0,0.2374993
216.0,216.0,1.608193E-4
217.0,217.0,5.997857E-4
218.0,218.0,0.04537524
219.0,219.0,6.794474E-8
220.0,220.0,0.35894758
221.0,221.0,0.52535653
222.0,222.0,9.5211834E-7
223.0,223.0,0.0030410106
224.0,224.0,0.0039608646
225.0,225.0,0.00462033
226.0,226.0,0.5899835
227.0,227.0,6.273085E-4
228.0,228.0,2.479279E-4
229.0,229.0,0.17597121
230.0,230.0,1.6438658E-8
231.0,231.0,1.5341051E-5
232.0,232.0,0.009871448
233.0,233.0,0.085826516
234.0,234.0,0.19615132
235.0,235.0,1.3002507E-7
236.0,236.0,0.058684334
237.0,237.0,0.14171396
238.0,238.0,9.531076E-4
239.0,239.0,0.067276545
240.0,240.0,4.5168263E-4
241.0,241.0,3.9738746E-4
242.0,242.0,1.0961463E-4
243.0,243.0,0.02255573
244.0,244.0,0.032911487
245.0,245.0,0.012433384
246.0,246.0,0.031674445
247.0,247.0,0.025299586
248.0,248.0,2.2088225E-18
249.0,249.0,0.0014862025
250.0,250.0,1.297357E-4
251.0,251.0,4.8791883E-8
252.0,252.0,0.058868375
253.0,253.0,1.2154374E-4
254.0,254.0,0.11724251
255.0,255.0,0.0019674355
256.0,256.0,7.088235E-8
257.0,257.0,0.013102149
258.0,258.0,0.031820524
259.0,259.0,0.0042403503
260.0,260.0,0.01805488
261.0,261.0,8.1038364E-4
262.0,262.0,0.0011553066
263.0,263.0,3.6817868E-4
264.0,264.0,2.7449074E-11
265.0,265.0,0.0035539586
266.0,266.0,0.1001602
267.0,267.0,0.0246584
268.0,268.0,0.2662974
269.0,269.0,0.021062352
270.0,270.0,5.4147486E-6
271.0,271.0,3.3346852E-4
272.0,272.0,0.6795066
273.0,273.0,9.3234026E-5
274.0,274.0,8.424369E-4
275.0,275.0,0.002863879
276.0,276.0,1.5221958E-4
277.0,277.0,1.4506058E-7
278.0,278.0,2.3997864E-6
279.0,279.0,0.0036191428
280.0,280.0,1.9686976E-9
281.0,281.0,2.3280886E-7
282.0,282.0,0.4271863
283.0,283.0,0.0018449749
284.0,284.0,1.035949E-4
285.0,285.0,0.03198455
286.0,286.0,0.0012814874
287.0,287.0,4.4500225E-4
288.0,288.0,0.12989245
289.0,289.0,5.472339E-4
290.0,290.0,0.668611
291.0,291.0,1.7727088E-4
292.0,292.0,0.11676813
293.0,293.0,8.992637E-6
294.0,294.0,3.876828E-7
295.0,295.0,5.5257406E-4
296.0,296.0,0.0011042339
297.0,297.0,0.034224465
298.0,298.0,8.2076126E-4
299.0,299.0,0.38542032
300.0,300.0,0.19481872
301.0,301.0,3.1882623E-4
302.0,302.0,0.01941575
303.0,303.0,2.07645E-13
304.0,304.0,3.6355032E-4
305.0,305.0,0.1657211
306.0,306.0,0.14503282
307.0,307.0,9.054593E-10
308.0,308.0,2.4822314E-4
309.0,309.0,5.58965E-4
310.0,310.0,0.034011137
311.0,311.0,7.992781E-4
312.0,312.0,0.6169535
313.0,313.0,3.5729946E-4
314.0,314.0,0.009728191
315.0,315.0,1.0502113E-6
316.0,316.0,0.029489003
317.0,317.0,2.6278882E-5
318.0,318.0,1.1736104E-5
319.0,319.0,0.57035244
320.0,320.0,0.43513274
321.0,321.0,0.049811013
322.0,322.0,7.355621E-5
323.0,323.0,3.1482877E-4
324.0,324.0,7.3847856E-4
325.0,325.0,3.6463614E-8
326.0,326.0,0.0018570801
327.0,327.0,1.9116233E-18
328.0,328.0,0.09313741
329.0,329.0,4.7834765E-4
330.0,330.0,0.3478035
331.0,331.0,7.384525E-13
332.0,332.0,3.3145445E-6
333.0,333.0,3.3482688E-4
334.0,334.0,1.2623713E-9
335.0,335.0,3.537981E-4
336.0,336.0,0.0011535321
337.0,337.0,0.005348928
338.0,338.0,4.191115E-6
339.0,339.0,0.0012444574
340.0,340.0,1.874519E-4
341.0,341.0,0.32467598
342.0,342.0,0.16873962
343.0,343.0,0.27250606
344.0,344.0,3.6350603E-8
345.0,345.0,0.07651398
346.0,346.0,2.6663797E-4
347.0,347.0,0.0061429683
348.0,348.0,0.0011857639
349.0,349.0,4.2348354E-5
350.0,350.0,0.46177584
351.0,351.0,2.1426154E-4
352.0,352.0,0.45562345
353.0,353.0,0.72152203
354.0,354.0,0.0027248433
355.0,355.0,2.406287E-20
356.0,356.0,9.389563E-5
357.0,357.0,0.15576692
358.0,358.0,0.56916475
359.0,359.0,0.62479454
360.0,360.0,1.03584E-6
361.0,361.0,0.25486034
362.0,362.0,0.0012625569
363.0,363.0,0.0018934974
364.0,364.0,2.644297E-4
365.0,365.0,0.121988006
366.0,366.0,1.8454813E-6
367.0,367.0,7.201859E-6
368.0,368.0,0.23973215
369.0,369.0,5.289509E-7
370.0,370.0,0.02870638
371.0,371.0,1.2311522E-15
372.0,372.0,0.13055645
373.0,373.0,8.116677E-15
374.0,374.0,0.026285777
375.0,375.0,0.6268764
376.0,376.0,0.1810916
377.0,377.0,2.7297798E-4
378.0,378.0,0.0014429425
379.0,379.0,1.0185328E-11
380.0,380.0,0.1146948
381.0,381.0,0.046372183
382.0,382.0,1.5189942E-5
