X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,2.606449505709743E-4,74.33927522684827,0.6155232003690514
2.0,2.0,train,2.4248278951837386E-4,72.09456499769497,0.5982937583273137
3.0,3.0,train,3.8041504883855375E-4,85.36961068662377,0.7002928854256106
4.0,4.0,train,4.144508582010868E-4,88.69133234974194,0.7179639506708066
5.0,5.0,train,2.875598285706201E-4,77.30130400314137,0.6385003129647197
6.0,6.0,train,2.5194366859393154E-4,73.28462172347285,0.6074570647515732
7.0,7.0,train,7.527444906214763E-5,10.623265847617272,0.31617002426942825
8.0,8.0,train,9.982540822363712E-5,18.848748045512835,0.38009448472987356
9.0,9.0,train,1.4044560227500987E-4,41.1279697398877,0.46312962219457204
10.0,10.0,train,3.6748930965633603E-4,84.14392487376622,0.6929876664870166
11.0,11.0,train,9.463016114592285E-5,16.536841789097846,0.36758442930078256
12.0,12.0,train,5.048478297228358E-5,5.985650448491327,0.23669270769192532
13.0,13.0,train,1.6226101728727268E-4,51.09826578397195,0.49915907785332636
14.0,14.0,train,3.316679991946653E-4,81.02374490891127,0.6707467688783639
15.0,15.0,train,5.439632019431281E-4,95.8817898686267,0.7696456879893273
16.0,16.0,train,8.264197075784038E-4,98.9155492203336,0.8354193123400393
17.0,17.0,train,9.438025976409382E-4,99.63850363889372,0.852877089701366
18.0,18.0,train,3.617297342159767E-4,83.47872439968583,0.6896165808947817
19.0,19.0,train,6.715650009765249E-4,98.29209481685504,0.8048740978534993
20.0,20.0,train,3.3794597256171284E-4,81.55455899335037,0.6748746325284807
21.0,21.0,train,3.7806587852957967E-4,85.20553311805465,0.6989911708645042
22.0,22.0,train,2.839084559716628E-4,77.0178274085603,0.6355454837321964
23.0,23.0,train,2.2138454451384136E-4,67.87360789467694,0.5762337190762526
24.0,24.0,train,1.93334219228437E-4,61.16384408478762,0.5428571904937817
25.0,25.0,train,1.234175854328393E-4,31.8699131499974,0.43119031679885744
26.0,26.0,train,1.2747469936167548E-4,34.00239842538022,0.4391402491295627
27.0,27.0,train,1.0526852635018109E-4,21.51608182661511,0.3926812723991414
28.0,28.0,train,1.377545459169801E-4,39.88803256768852,0.45832280328116803
29.0,29.0,train,1.8499130167063464E-4,58.508110770283544,0.5318913613820228
30.0,30.0,train,1.2736263048211796E-4,33.927106155880374,0.43892363526429945
31.0,31.0,train,1.625585139948251E-4,51.2063806747709,0.49961701879538445
32.0,32.0,train,1.5657337960680686E-4,48.90840025560693,0.4902399477155553
33.0,33.0,train,1.1251407970095851E-4,25.723363939184768,0.40866387911539936
34.0,34.0,train,7.645568681269444E-5,10.88662347467118,0.3195460764267309
35.0,35.0,train,1.1814884342167989E-4,29.115543389171552,0.4205235030165318
36.0,36.0,train,1.8180765707974056E-4,57.49304181103208,0.5275668547547026
37.0,37.0,train,1.331023667938797E-4,37.343328080447954,0.44980677306227
38.0,38.0,train,1.495578147475133E-4,45.92711590665337,0.47879100674501185
39.0,39.0,train,4.598078604936679E-5,5.39121059103335,0.220226602549596
40.0,40.0,train,6.963029052131966E-5,9.370809926423457,0.2995649750997579
41.0,41.0,train,8.591584586928916E-5,13.364431107534077,0.34542702585195934
42.0,42.0,train,7.886112148011169E-5,11.462489001138513,0.32631892874792157
43.0,43.0,train,8.420944407336402E-5,12.902939066780416,0.34090521682228064
44.0,44.0,train,5.538207085858723E-4,96.03629034355482,0.7728143023384806
45.0,45.0,train,5.927295122459644E-4,97.31682863096425,0.7845139554904613
46.0,46.0,train,4.4571333546577065E-4,91.17339486565677,0.7324534170950695
47.0,47.0,train,5.302110440156193E-4,95.28295759140394,0.7650745724780633
48.0,48.0,train,4.4628116815729373E-4,91.29090020597978,0.7327028415980649
49.0,49.0,train,4.20183884365227E-4,89.11999948223163,0.7207374383227557
50.0,50.0,train,4.3000211559467204E-4,89.75525211873865,0.7253626388216535
51.0,51.0,train,0.0010198433473623749,99.83155207606875,0.8623366307212068
