X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0012735844984271595,80.77794470306537,0.7387838457463254
2.0,2.0,train,6.334725750411213E-4,48.42062646579087,0.5845021950239675
3.0,3.0,train,8.697449003282151E-4,60.314690049815404,0.6588708625621436
4.0,4.0,train,8.6175988556625E-4,59.76106809000452,0.6567948117496802
5.0,5.0,train,0.001187335708074658,76.83420309240503,0.7250265390610272
6.0,6.0,train,0.001214752406572348,78.03490141183919,0.7295542192327705
7.0,7.0,train,2.339596995565543E-4,25.471706270696178,0.3419121441385645
8.0,8.0,train,4.273178671426418E-4,37.75727826085977,0.4869016608076944
9.0,9.0,train,6.913265126251393E-4,50.927898291419396,0.6055581175619592
10.0,10.0,train,0.0011926609650805065,77.31167568390515,0.725917793670358
11.0,11.0,train,8.401841131754948E-4,58.56978372833422,0.6510567583887061
12.0,12.0,train,5.7868924106116664E-5,7.9709918518244995,0.11387537231416338
13.0,13.0,train,0.001538738946863152,90.58569305501779,0.7736058486174259
14.0,14.0,train,0.001315608792416537,82.85117310879417,0.7450001180658342
15.0,15.0,train,5.548523544753372E-4,44.49738408102037,0.5520033962942793
16.0,16.0,train,0.0017080759463666338,93.521834195017,0.7913676989545914
17.0,17.0,train,0.0010714229431116617,69.93724691290589,0.7040813659556392
18.0,18.0,train,0.00204758933983814,98.18332414687548,0.8197249246715627
19.0,19.0,train,0.0020885791153168586,98.39218881024021,0.8226354253302026
