X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,4.3574162650766824E-4,84.7274679730427,0.701278795472749
2.0,2.0,train,4.776215205419579E-4,86.81968489273045,0.7201415720845387
3.0,3.0,train,3.657727734617311E-4,79.2528473534508,0.6633720416203557
4.0,4.0,train,3.523231525205934E-4,78.09828197651429,0.6549555542928112
5.0,5.0,train,3.19387167255571E-4,73.88169916142024,0.6324517652946837
6.0,6.0,train,3.30844678191474E-4,75.52334526660412,0.6406057767859313
7.0,7.0,train,1.3531589091876514E-4,30.52075861046487,0.42164047786759695
8.0,8.0,train,1.834750266034418E-4,44.660131845666314,0.4971060079339812
9.0,9.0,train,2.7735245634216574E-4,66.96020591194078,0.5990802889407596
10.0,10.0,train,4.5685319252023013E-4,85.79857723183675,0.7110948593597595
11.0,11.0,train,4.79593049711038E-4,86.86524973441203,0.7209710150375561
12.0,12.0,train,4.653376461756651E-4,86.26359933242475,0.7148604423901113
13.0,13.0,train,3.1193340933748803E-4,72.55748745492387,0.6269454950935137
14.0,14.0,train,1.763789690100003E-4,42.86100953617608,0.4872478291045812
15.0,15.0,train,3.3285231228494526E-4,75.8146390320962,0.6419974503557935
16.0,16.0,train,9.319643643489351E-4,98.27018780743508,0.8339161279627427
17.0,17.0,train,0.00110301046089432,99.45421146812212,0.8559613851837641
18.0,18.0,train,5.896622735443812E-4,91.02396343166568,0.7605860685521909
19.0,19.0,train,7.376183157854688E-4,95.34162494143814,0.7989543546663193
20.0,20.0,train,1.6049610026783664E-4,37.6166777065693,0.4637176312497035
21.0,21.0,train,1.2368474584279783E-4,27.733400221605248,0.39989114170714635
22.0,22.0,train,1.7253406657026846E-4,41.622306606286955,0.4817431310156911
23.0,23.0,train,1.2070609329348193E-4,26.793109639917606,0.3940556394982134
24.0,24.0,train,1.9785189644467427E-4,48.87699515598421,0.5159605986194399
25.0,25.0,train,1.8542022846318974E-4,45.25160911399638,0.49974252336116115
26.0,26.0,train,2.0172331492408774E-4,49.911967580104054,0.520798583782717
27.0,27.0,train,1.679346681282304E-4,40.25748637968454,0.4750009529054286
28.0,28.0,train,1.3653003109650048E-4,30.885841847488507,0.4238202961084241
29.0,29.0,train,1.0781748496877904E-4,23.260062429567256,0.3674400512108591
30.0,30.0,train,1.7274790093223897E-4,41.72694160238499,0.4820523769593983
31.0,31.0,train,1.5181780159817025E-4,34.88096182148106,0.44992504889503865
32.0,32.0,train,1.5278291404603934E-4,35.17710792881861,0.4514938824404152
33.0,33.0,train,1.8892423173058636E-4,46.32573515079743,0.5044227304975438
34.0,34.0,train,9.98606561838725E-5,21.211088944145626,0.34980899767176155
35.0,35.0,train,1.1955459876772826E-4,26.39151170749474,0.391769205678731
36.0,36.0,train,9.612526103707705E-5,20.091646177875138,0.3411884609139497
37.0,37.0,train,9.189926125081523E-5,18.863559719700376,0.3311559148102821
38.0,38.0,train,9.370989876885152E-5,19.322465249302137,0.3354915478836723
39.0,39.0,train,6.441144961795734E-5,11.368528906206501,0.2576223631024282
40.0,40.0,train,1.2874257954292095E-4,29.123810519847165,0.40954666396565403
41.0,41.0,train,1.458737019198155E-4,33.26060617196488,0.4400612529575234
42.0,42.0,train,9.003283247533007E-5,18.38375032556898,0.3266270686117551
43.0,43.0,train,8.230182165337394E-5,16.130064995298085,0.30719594281962115
44.0,44.0,train,4.2931549863955233E-4,84.34190531912651,0.698157089465947
45.0,45.0,train,1.4179368727376018E-4,32.0769150191645,0.4330834779359705
46.0,46.0,train,3.2177507482100475E-4,74.20677345636514,0.6341815540061724
47.0,47.0,train,3.053759725062412E-4,71.46217153395405,0.6219631227886068
48.0,48.0,train,3.6684441618680254E-4,79.35932651090889,0.6640250259176878
49.0,49.0,train,4.125528461375419E-4,83.41641642603537,0.6896983947802735
50.0,50.0,train,5.9060731526728E-4,91.08687422425486,0.7608775536467736
51.0,51.0,train,0.0010350980376498825,99.1227789603089,0.847948002200236
