x,y,species logistic values
226.0,226.0,0.5450257
227.0,227.0,0.27571264
228.0,228.0,0.0050779763
229.0,229.0,0.667262
230.0,230.0,0.5144118
231.0,231.0,0.41314763
232.0,232.0,0.27513376
233.0,233.0,0.03611537
234.0,234.0,6.0810726E-5
235.0,235.0,0.10433053
236.0,236.0,0.12805438
237.0,237.0,0.037490115
238.0,238.0,0.046194214
239.0,239.0,6.753232E-4
240.0,240.0,0.13602246
241.0,241.0,0.7861402
242.0,242.0,0.3582337
243.0,243.0,0.4393192
244.0,244.0,0.06331457
245.0,245.0,0.22242178
246.0,246.0,0.42210242
247.0,247.0,0.66488034
248.0,248.0,0.001039048
249.0,249.0,0.0039997064
250.0,250.0,0.23600672
251.0,251.0,0.559818
252.0,252.0,0.0035443138
253.0,253.0,0.090906866
254.0,254.0,0.6088834
255.0,255.0,0.72824746
256.0,256.0,0.1125767
257.0,257.0,0.10728841
258.0,258.0,0.63522625
259.0,259.0,0.074315235
260.0,260.0,0.34977603
261.0,261.0,0.4601597
262.0,262.0,0.22784725
263.0,263.0,0.49506223
264.0,264.0,1.1950523E-4
265.0,265.0,0.30864275
266.0,266.0,0.40937385
267.0,267.0,0.36541513
268.0,268.0,0.2472992
269.0,269.0,0.07812161
270.0,270.0,0.49882913
271.0,271.0,0.13678151
272.0,272.0,0.18448445
273.0,273.0,0.09958485
274.0,274.0,0.044638988
275.0,275.0,0.3982489
276.0,276.0,0.019579193
277.0,277.0,0.5063311
278.0,278.0,0.003994416
279.0,279.0,0.007125777
280.0,280.0,0.3561405
281.0,281.0,0.53121954
282.0,282.0,0.37688118
283.0,283.0,0.17512204
284.0,284.0,0.033811852
285.0,285.0,0.1516004
286.0,286.0,0.031167444
287.0,287.0,0.61243427
288.0,288.0,0.24665834
289.0,289.0,0.30321708
290.0,290.0,0.63619
291.0,291.0,0.06252301
292.0,292.0,0.01877834
293.0,293.0,1.42779E-5
294.0,294.0,0.5942656
295.0,295.0,0.57899797
296.0,296.0,0.32914612
297.0,297.0,0.41359088
298.0,298.0,0.47447714
299.0,299.0,0.6111705
300.0,300.0,0.06308748
301.0,301.0,0.16536348
302.0,302.0,0.5537351
303.0,303.0,0.29580614
304.0,304.0,0.00494957
305.0,305.0,0.44006327
306.0,306.0,0.52744645
307.0,307.0,0.040550657
308.0,308.0,0.44575858
309.0,309.0,0.012337942
310.0,310.0,0.40055206
311.0,311.0,0.026505861
312.0,312.0,0.450364
313.0,313.0,0.0052647106
314.0,314.0,0.16186051
315.0,315.0,0.46091226
316.0,316.0,0.46285188
317.0,317.0,0.53421056
318.0,318.0,0.30463606
319.0,319.0,0.32420096
320.0,320.0,0.08463335
321.0,321.0,0.0054862644
322.0,322.0,0.1263195
323.0,323.0,0.49151114
324.0,324.0,0.53411007
325.0,325.0,0.20105696
326.0,326.0,0.23411644
327.0,327.0,0.13050319
328.0,328.0,0.0881278
329.0,329.0,8.776449E-5
330.0,330.0,0.46930143
331.0,331.0,0.34472921
332.0,332.0,0.24344197
333.0,333.0,0.19361338
334.0,334.0,0.112710565
335.0,335.0,0.19291513
336.0,336.0,0.05517575
337.0,337.0,0.084435344
338.0,338.0,0.0074914536
339.0,339.0,0.44116566
340.0,340.0,0.68323046
341.0,341.0,0.26054394
342.0,342.0,0.014097831
343.0,343.0,0.2931495
344.0,344.0,0.1504328
345.0,345.0,0.441175
