Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.10356E-8,0.000001104,0.000035798,1,0,0
1.78572E-8,0.000002889,0.000057925,0.99990005,0,0
2.80336E-8,0.000010655,0.000090933,0.9996002,0,0
4.81891E-8,0.000025856,0.000156301,0.9992004,0,0
6.65522E-8,0.000056306,0.000215849,0.99870065,0,0
8.82362E-8,0.000102916,0.000286157,0.99810095,0,0
1.46731E-7,0.000250032,0.000475771,0.996801599,0,0
1.71902E-7,0.000506227,0.000557341,0.995202399,0,0
2.17141E-7,0.001019305,0.000703912,0.992603698,0,0
3.40073E-7,0.00251621,0.001101984,0.987106447,0,0
4.7164E-7,0.005041199,0.001527667,0.980909545,0,0
6.97452E-7,0.010022219,0.002257432,0.972613693,0,0
1.17705E-6,0.025094343,0.003803822,0.956021989,0,0
1.80674E-6,0.050177935,0.005826924,0.939030485,0,0
2.76558E-6,0.100275796,0.00889178,0.917241379,0,0
4.1654E-6,0.200413437,0.01333243,0.888155922,0,0
5.07685E-6,0.300448988,0.01620248,0.866666667,0,0
5.79E-6,0.400413427,0.018436518,0.848275862,0,0
6.44272E-6,0.500116273,0.020472339,0.831984008,0,0
7.11571E-6,0.60038461,0.022562595,0.817191404,0,0
7.72581E-6,0.700517075,0.024449807,0.803698151,0,0
8.0312E-6,0.750118176,0.025391725,0.797401299,0,0
8.31803E-6,0.800825302,0.026274745,0.791204398,0,0
8.94013E-6,0.900335342,0.028184445,0.779710145,0,0
9.48564E-6,1.000765079,0.02985286,0.768815592,0,0
9.98776E-6,1.100065781,0.031383512,0.75862069,0,0
1.05829E-5,1.201003479,0.033191622,0.748825587,0,0
1.11104E-5,1.300767269,0.034788503,0.739630185,0,0
1.1692E-5,1.40094466,0.036542895,0.730834583,0,0
1.22216E-5,1.500197863,0.038134952,0.722538731,0,0
1.34314E-5,1.751281108,0.041752225,0.702948526,0,0
1.47122E-5,2.001271026,0.045552291,0.685257371,0,0
1.5858E-5,2.250658491,0.048926576,0.668965517,0,0
1.69001E-5,2.501316844,0.051974441,0.653673163,0,0
1.81151E-5,2.751521974,0.055503675,0.63938031,0,0
1.91498E-5,3.001677014,0.058488529,0.625987006,0,0
2.02809E-5,3.250213514,0.061730174,0.613393303,0,0
2.13814E-5,3.500634446,0.064862335,0.6013993,0,0
2.2522E-5,3.751022411,0.068086955,0.590004998,0,0
2.34048E-5,4.001739458,0.070567324,0.579110445,0,0
2.4433E-5,4.250015263,0.07343996,0.568715642,0,0
2.52847E-5,4.501213743,0.075805727,0.55862069,0,0
2.60697E-5,4.750054914,0.07797581,0.548925537,0,0
2.699E-5,5.002200951,0.080506812,0.539430285,0,0
2.80032E-5,5.250162001,0.083277497,0.530434783,0,0
2.88184E-5,5.502384393,0.085494462,0.52153923,0,0
2.98554E-5,5.751726177,0.088299101,0.513043478,0,0
3.07585E-5,6.000030702,0.090727756,0.504847576,0,0
3.17198E-5,6.253151347,0.093298858,0.496751624,0,0
3.2765E-5,6.500966465,0.096077671,0.489055472,0,0
3.359E-5,6.75310606,0.098259115,0.48145927,0,0
3.43477E-5,7.000956921,0.100253472,0.474162919,0,0
3.50538E-5,7.250806361,0.10210395,0.466966517,0,0
3.59005E-5,7.50258841,0.104313052,0.459870065,0,0
3.66186E-5,7.752823734,0.106178014,0.452973513,0,0
3.75108E-5,8.001184361,0.108484251,0.446276862,0,0
3.83699E-5,8.251565682,0.110693987,0.43968016,0,0
3.92402E-5,8.503803414,0.112921067,0.433183408,0,0
4.02123E-5,8.750264273,0.115395748,0.426986507,0,0
4.11384E-5,9.002721111,0.117740471,0.420789605,0,0
4.19678E-5,9.252159525,0.119829627,0.414792604,0,0
4.27391E-5,9.501882539,0.121763903,0.408895552,0,0
4.3482E-5,9.751941139,0.123618742,0.403098451,0,0
4.44607E-5,10.002621046,0.126050474,0.397401299,0,0
4.54584E-5,10.254408443,0.128515512,0.391804098,0,0
4.64666E-5,10.502788855,0.130992336,0.386406797,0,0
4.7413E-5,10.751352421,0.133304638,0.381109445,0,0
4.82186E-5,11.004814792,0.135263445,0.375812094,0,0
4.94322E-5,11.253744988,0.138197161,0.370714643,0,0
5.04285E-5,11.503454588,0.140590988,0.365717141,0,0
5.12699E-5,11.752901322,0.142602354,0.36081959,0,0
5.21737E-5,12.001314053,0.144752256,0.356021989,0,0
5.32986E-5,12.254437226,0.147413083,0.351224388,0,0
5.42256E-5,12.5014898,0.149593478,0.346626687,0,0
5.53241E-5,12.753387323,0.152162758,0.342028986,0,0
5.62556E-5,13.00459592,0.154329475,0.337531234,0,0
5.73865E-5,13.25433159,0.156944838,0.333133433,0,0
5.83775E-5,13.503197215,0.159223672,0.328835582,0,0
5.9327E-5,13.750225033,0.161395453,0.324637681,0,0
6.02095E-5,14.001468168,0.163403823,0.32043978,0,0
6.12742E-5,14.250929903,0.165814435,0.316341829,0,0
6.22862E-5,14.504368866,0.168092614,0.312243878,0,0
6.34524E-5,14.755753113,0.170702461,0.308245877,0,0
6.45785E-5,15.005364686,0.173207422,0.304347826,0,0
6.54224E-5,15.25270418,0.175074565,0.300549725,0,0
6.62236E-5,15.50294874,0.176839303,0.296751624,0,0
6.73005E-5,15.756490437,0.179199691,0.292953523,0,0
6.80431E-5,16.006644958,0.18081955,0.289255372,0,0
6.9488E-5,16.254168645,0.183952889,0.285657171,0,0
7.08067E-5,16.50670555,0.186791867,0.282058971,0,0
7.17536E-5,16.756419678,0.188818067,0.27856072,0,0
7.28124E-5,17.002218636,0.191071854,0.275162419,0,0
